imageSrc,mapName,shape,coords,alt,title
../src/assets/frame/frame5.png,frame5,rect,"591,724,144,60",Area 1,Area 1
../src/assets/frame/frame5.png,frame5,rect,"611,58,1058,724",Area 2,Area 2
../src/assets/frame/frame5.png,frame5,rect,"148,740,593,1405",Area 3,Area 3
../src/assets/frame/frame5.png,frame5,rect,"611,741,1059,1405",Area 4,Area 4
../src/assets/frame/frame2.png,frame2,rect,"61,79,570,717",Area 1,Area 1
../src/assets/frame/frame2.png,frame2,rect,"643,146,1113,803",Area 2,Area 2
../src/assets/frame/frame2.png,frame2,rect,"100,925,587,1602",Area 3,Area 3
../src/assets/frame/frame2.png,frame2,rect,"663,964,1088,1560",Area 4,Area 4
../src/assets/frame/frame1.png,frame1,rect,"546,718,114,91",Area 1,Area 1
../src/assets/frame/frame1.png,frame1,rect,"693,97,1121,716",Area 2,Area 2
../src/assets/frame/frame1.png,frame1,rect,"109,921,551,1552",Area 3,Area 3
../src/assets/frame/frame1.png,frame1,rect,"692,923,1124,1553",Area 4,Area 4
../src/assets/frame/frame3.png,frame3,rect,"543,162,981,771",Area 1,Area 1
../src/assets/frame/frame3.png,frame3,rect,"178,851,695,1615",Area 2,Area 2
../src/assets/frame/frame8.png,frame8,rect,"95,165,584,892",Area 1,Area 1
../src/assets/frame/frame8.png,frame8,rect,"630,163,1116,895",Area 2,Area 2
../src/assets/frame/frame8.png,frame8,rect,"629,904,1119,1639",Area 3,Area 3
../src/assets/frame/frame8.png,frame8,rect,"94,905,585,1638",Area 4,Area 4
../src/assets/frame/frame6.png,frame6,rect,"534,107,1047,777",Area 1,Area 1
../src/assets/frame/frame6.png,frame6,rect,"63,226,607,957",Area 2,Area 2
../src/assets/frame/frame6.png,frame6,rect,"592,778,1089,1452",Area 3,Area 3
../src/assets/frame/frame6.png,frame6,rect,"86,953,679,1694",Area 4,Area 4
../src/assets/frame/frame7.png,frame7,rect,"34,141,1052,848",Area 1,Area 1
../src/assets/frame/frame7.png,frame7,rect,"45,1701,1178,832",Area 2,Area 2
../src/assets/frame/frame4.png,frame4,rect,"83,41,508,616",Area 1,Area 1
../src/assets/frame/frame4.png,frame4,rect,"686,41,1114,612",Area 2,Area 2
../src/assets/frame/frame4.png,frame4,rect,"85,618,508,1190",Area 3,Area 3
../src/assets/frame/frame4.png,frame4,rect,"686,617,1114,1191",Area 4,Area 4
../src/assets/frame/frame4.png,frame4,rect,"686,1192,1114,1767",Area 5,Area 5
../src/assets/frame/frame4.png,frame4,rect,"84,1190,508,1766",Area 6,Area 6
../src/assets/frame/frame9.png,frame9,rect,"71,526,506,820",Area 1,Area 1
../src/assets/frame/frame9.png,frame9,rect,"673,525,1109,820",Area 2,Area 2
../src/assets/frame/frame9.png,frame9,rect,"675,820,1107,1108",Area 3,Area 3
../src/assets/frame/frame9.png,frame9,rect,"71,820,506,1108",Area 4,Area 4
../src/assets/frame/frame9.png,frame9,rect,"71,1108,506,1398",Area 5,Area 5
../src/assets/frame/frame9.png,frame9,rect,"673,1108,1107,1397",Area 6,Area 6
../src/assets/frame/frame9.png,frame9,rect,"70,1398,504,1684",Area 7,Area 7
../src/assets/frame/frame9.png,frame9,rect,"672,1398,1105,1685",Area 8,Area 8
../src/assets/frame/frame10.png,frame10,rect,"29,540,579,949",Area 1,Area 1
../src/assets/frame/frame10.png,frame10,rect,"621,538,1182,950",Area 2,Area 2
../src/assets/frame/frame10.png,frame10,rect,"621,952,1184,1344",Area 3,Area 3
../src/assets/frame/frame10.png,frame10,rect,"27,950,579,1342",Area 4,Area 4
../src/assets/frame/frame10.png,frame10,rect,"621,1345,1185,1747",Area 5,Area 5
../src/assets/frame/frame10.png,frame10,rect,"25,1342,579,1751",Area 6,Area 6
../src/assets/frame/frame11.png,frame11,rect,"23,73,587,464",Area 1,Area 1
../src/assets/frame/frame11.png,frame11,rect,"614,79,1183,469",Area 2,Area 2
../src/assets/frame/frame11.png,frame11,rect,"22,501,589,892",Area 3,Area 3
../src/assets/frame/frame11.png,frame11,rect,"613,506,1184,894",Area 4,Area 4
../src/assets/frame/frame11.png,frame11,rect,"21,929,587,1319",Area 5,Area 5
../src/assets/frame/frame11.png,frame11,rect,"610,939,1185,1322",Area 6,Area 6
../src/assets/frame/frame11.png,frame11,rect,"20,1357,587,1746",Area 7,Area 7
../src/assets/frame/frame11.png,frame11,rect,"619,1366,1182,1750",Area 8,Area 8
../src/assets/frame/frame12.png,frame12,rect,"65,158,561,890",Area 1,Area 1
../src/assets/frame/frame12.png,frame12,rect,"642,159,1129,887",Area 2,Area 2
../src/assets/frame/frame12.png,frame12,rect,"67,910,561,1638",Area 3,Area 3
../src/assets/frame/frame12.png,frame12,rect,"642,908,1132,1637",Area 4,Area 4
